id_incidente,fecha,tipo_incidente,latitud,longitud,comuna,gravedad
1,2025-01-22,lesiones,-33.452249,-70.643358,Comuna Piloto,media
2,2025-07-05,lesiones,-33.423857,-70.644909,Comuna Piloto,media
3,2025-06-07,lesiones,-33.409667,-70.617145,Comuna Piloto,baja
4,2025-04-16,robo_con_violencia,-33.42793,-70.628947,Comuna Piloto,media
5,2025-04-14,vandalismo,-33.403679,-70.697342,Comuna Piloto,media
6,2025-07-26,hurto,-33.421799,-70.695054,Comuna Piloto,media
7,2025-01-21,robo_vehiculo,-33.41332,-70.639844,Comuna Piloto,baja
8,2025-06-17,hurto,-33.48859,-70.651381,Comuna Piloto,baja
9,2025-02-18,vandalismo,-33.426759,-70.673982,Comuna Piloto,baja
10,2025-01-23,vandalismo,-33.455991,-70.658134,Comuna Piloto,baja
11,2025-05-07,vandalismo,-33.44469,-70.624209,Comuna Piloto,baja
12,2025-08-23,hurto,-33.43459,-70.617339,Comuna Piloto,baja
13,2025-06-26,lesiones,-33.403018,-70.643878,Comuna Piloto,media
14,2025-07-02,robo_vehiculo,-33.401542,-70.661463,Comuna Piloto,baja
15,2025-06-22,lesiones,-33.471177,-70.67293,Comuna Piloto,media
16,2025-07-08,lesiones,-33.426625,-70.647808,Comuna Piloto,media
17,2025-05-04,robo_vehiculo,-33.425002,-70.668525,Comuna Piloto,media
18,2025-01-31,robo_vehiculo,-33.465351,-70.64359,Comuna Piloto,baja
19,2025-07-21,robo_con_violencia,-33.487613,-70.632335,Comuna Piloto,baja
20,2025-04-19,robo_con_violencia,-33.495905,-70.693392,Comuna Piloto,media
21,2025-05-01,hurto,-33.422266,-70.699893,Comuna Piloto,alta
22,2025-03-30,hurto,-33.45103,-70.678772,Comuna Piloto,baja
23,2025-02-13,robo_con_violencia,-33.401446,-70.610549,Comuna Piloto,media
24,2025-08-11,hurto,-33.453503,-70.635371,Comuna Piloto,media
25,2025-07-07,lesiones,-33.402208,-70.682804,Comuna Piloto,media
26,2025-06-04,robo_vehiculo,-33.458842,-70.610974,Comuna Piloto,baja
27,2025-04-07,robo_vehiculo,-33.420632,-70.653004,Comuna Piloto,media
28,2025-07-17,robo_vehiculo,-33.491518,-70.652391,Comuna Piloto,baja
29,2025-05-11,hurto,-33.444454,-70.606446,Comuna Piloto,alta
30,2025-04-17,robo_vehiculo,-33.419794,-70.694051,Comuna Piloto,baja
31,2025-04-19,lesiones,-33.40753,-70.678482,Comuna Piloto,baja
32,2025-02-24,robo_vehiculo,-33.417742,-70.641423,Comuna Piloto,alta
33,2025-01-23,hurto,-33.496303,-70.680451,Comuna Piloto,baja
34,2025-05-14,robo_vehiculo,-33.46273,-70.632047,Comuna Piloto,baja
35,2025-08-02,robo_con_violencia,-33.49513,-70.678591,Comuna Piloto,baja
36,2025-01-16,lesiones,-33.489072,-70.690084,Comuna Piloto,baja
37,2025-07-25,robo_vehiculo,-33.432469,-70.679301,Comuna Piloto,baja
38,2025-07-18,robo_vehiculo,-33.428674,-70.657727,Comuna Piloto,baja
39,2025-03-08,lesiones,-33.422628,-70.682386,Comuna Piloto,media
40,2025-06-01,vandalismo,-33.413454,-70.686531,Comuna Piloto,media
41,2025-02-09,lesiones,-33.426057,-70.613972,Comuna Piloto,baja
42,2025-07-01,vandalismo,-33.419913,-70.66796,Comuna Piloto,media
43,2025-06-18,vandalismo,-33.495104,-70.663924,Comuna Piloto,baja
44,2025-03-27,hurto,-33.476546,-70.694473,Comuna Piloto,alta
45,2025-01-17,lesiones,-33.43781,-70.664263,Comuna Piloto,baja
46,2025-08-21,robo_vehiculo,-33.414187,-70.673519,Comuna Piloto,media
47,2025-04-17,hurto,-33.49955,-70.638951,Comuna Piloto,baja
48,2025-08-03,hurto,-33.448537,-70.679461,Comuna Piloto,media
49,2025-06-12,vandalismo,-33.432271,-70.611163,Comuna Piloto,baja
50,2025-07-06,vandalismo,-33.497039,-70.607033,Comuna Piloto,media
51,2025-07-02,hurto,-33.459864,-70.690017,Comuna Piloto,baja
52,2025-02-16,lesiones,-33.410437,-70.68926,Comuna Piloto,alta
53,2025-03-29,robo_vehiculo,-33.432839,-70.688467,Comuna Piloto,media
54,2025-04-23,vandalismo,-33.476234,-70.638043,Comuna Piloto,media
55,2025-04-30,hurto,-33.414722,-70.687803,Comuna Piloto,media
56,2025-01-11,hurto,-33.465197,-70.614762,Comuna Piloto,alta
57,2025-05-12,lesiones,-33.414666,-70.624573,Comuna Piloto,baja
58,2025-02-07,lesiones,-33.470106,-70.618019,Comuna Piloto,baja
59,2025-06-28,robo_con_violencia,-33.440968,-70.647394,Comuna Piloto,baja
60,2025-06-13,robo_vehiculo,-33.460306,-70.600332,Comuna Piloto,baja
61,2025-08-10,robo_con_violencia,-33.472517,-70.695582,Comuna Piloto,media
62,2025-06-28,lesiones,-33.411344,-70.659874,Comuna Piloto,alta
63,2025-03-29,robo_con_violencia,-33.481241,-70.667606,Comuna Piloto,alta
64,2025-08-21,robo_vehiculo,-33.491519,-70.605135,Comuna Piloto,media
65,2025-04-09,hurto,-33.465807,-70.642314,Comuna Piloto,media
66,2025-03-20,lesiones,-33.428236,-70.619381,Comuna Piloto,alta
67,2025-08-06,hurto,-33.419257,-70.682966,Comuna Piloto,alta
68,2025-03-30,vandalismo,-33.400126,-70.602137,Comuna Piloto,baja
69,2025-01-19,vandalismo,-33.470364,-70.650136,Comuna Piloto,media
70,2025-04-23,robo_con_violencia,-33.459206,-70.650633,Comuna Piloto,media
71,2025-07-10,vandalismo,-33.486318,-70.602912,Comuna Piloto,baja
72,2025-02-15,lesiones,-33.442513,-70.661927,Comuna Piloto,baja
73,2025-04-22,lesiones,-33.400242,-70.660247,Comuna Piloto,alta
74,2025-02-01,robo_con_violencia,-33.429912,-70.641525,Comuna Piloto,alta
75,2025-06-14,lesiones,-33.440479,-70.687195,Comuna Piloto,alta
76,2025-04-25,lesiones,-33.460763,-70.667891,Comuna Piloto,media
77,2025-03-21,hurto,-33.40847,-70.680679,Comuna Piloto,baja
78,2025-02-24,robo_con_violencia,-33.450308,-70.689672,Comuna Piloto,baja
79,2025-05-16,hurto,-33.486563,-70.613386,Comuna Piloto,media
80,2025-06-10,vandalismo,-33.463462,-70.641067,Comuna Piloto,media
81,2025-08-14,lesiones,-33.493283,-70.664133,Comuna Piloto,media
82,2025-04-15,robo_con_violencia,-33.479802,-70.659133,Comuna Piloto,media
83,2025-02-08,vandalismo,-33.498233,-70.656848,Comuna Piloto,baja
84,2025-07-19,vandalismo,-33.454672,-70.636685,Comuna Piloto,media
85,2025-06-01,robo_con_violencia,-33.436546,-70.607323,Comuna Piloto,baja
86,2025-06-18,vandalismo,-33.465671,-70.606722,Comuna Piloto,baja
87,2025-01-24,hurto,-33.457962,-70.660851,Comuna Piloto,baja
88,2025-03-16,hurto,-33.404079,-70.667074,Comuna Piloto,baja
89,2025-07-04,hurto,-33.424804,-70.654895,Comuna Piloto,alta
90,2025-07-19,lesiones,-33.445914,-70.643207,Comuna Piloto,baja
91,2025-04-15,vandalismo,-33.471546,-70.653818,Comuna Piloto,baja
92,2025-07-13,lesiones,-33.4103,-70.634125,Comuna Piloto,media
93,2025-07-22,vandalismo,-33.47649,-70.64456,Comuna Piloto,media
94,2025-04-03,vandalismo,-33.467466,-70.667928,Comuna Piloto,baja
95,2025-08-04,robo_con_violencia,-33.409094,-70.665427,Comuna Piloto,baja
96,2025-03-11,robo_vehiculo,-33.447046,-70.662141,Comuna Piloto,baja
97,2025-02-27,lesiones,-33.425768,-70.690536,Comuna Piloto,media
98,2025-06-13,hurto,-33.440926,-70.683394,Comuna Piloto,baja
99,2025-06-02,robo_con_violencia,-33.434656,-70.627689,Comuna Piloto,baja
100,2025-02-03,robo_con_violencia,-33.470062,-70.66109,Comuna Piloto,baja
101,2025-07-19,hurto,-33.475863,-70.678546,Comuna Piloto,media
102,2025-02-17,lesiones,-33.467751,-70.643733,Comuna Piloto,baja
103,2025-07-13,robo_con_violencia,-33.484456,-70.624446,Comuna Piloto,media
104,2025-01-02,robo_con_violencia,-33.412569,-70.674258,Comuna Piloto,baja
105,2025-07-11,robo_con_violencia,-33.471675,-70.617321,Comuna Piloto,media
106,2025-07-08,hurto,-33.443851,-70.60725,Comuna Piloto,baja
107,2025-07-07,robo_con_violencia,-33.420803,-70.640261,Comuna Piloto,baja
108,2025-06-09,hurto,-33.421618,-70.633105,Comuna Piloto,baja
109,2025-04-24,hurto,-33.456161,-70.694742,Comuna Piloto,media
110,2025-06-19,hurto,-33.452374,-70.605448,Comuna Piloto,alta
111,2025-03-08,lesiones,-33.40053,-70.660752,Comuna Piloto,baja
112,2025-07-07,hurto,-33.43254,-70.60761,Comuna Piloto,baja
113,2025-05-14,lesiones,-33.418536,-70.642102,Comuna Piloto,alta
114,2025-04-21,lesiones,-33.409745,-70.699538,Comuna Piloto,media
115,2025-05-02,vandalismo,-33.421241,-70.696146,Comuna Piloto,baja
116,2025-05-17,lesiones,-33.481482,-70.631958,Comuna Piloto,baja
117,2025-01-09,hurto,-33.443783,-70.643733,Comuna Piloto,media
118,2025-02-03,hurto,-33.489811,-70.697347,Comuna Piloto,media
119,2025-02-28,robo_vehiculo,-33.434708,-70.625654,Comuna Piloto,media
120,2025-01-28,hurto,-33.404465,-70.614785,Comuna Piloto,alta
121,2025-04-16,robo_con_violencia,-33.448727,-70.650358,Comuna Piloto,baja
122,2025-06-10,vandalismo,-33.456703,-70.653424,Comuna Piloto,baja
123,2025-06-07,vandalismo,-33.496416,-70.699453,Comuna Piloto,baja
124,2025-04-24,robo_con_violencia,-33.404023,-70.621335,Comuna Piloto,baja
125,2025-07-25,lesiones,-33.4897,-70.666928,Comuna Piloto,baja
126,2025-05-16,robo_con_violencia,-33.495892,-70.612124,Comuna Piloto,baja
127,2025-01-20,lesiones,-33.475393,-70.662694,Comuna Piloto,baja
128,2025-07-03,robo_con_violencia,-33.493447,-70.643492,Comuna Piloto,media
129,2025-05-18,hurto,-33.454488,-70.672966,Comuna Piloto,baja
130,2025-06-02,lesiones,-33.448391,-70.683941,Comuna Piloto,baja
131,2025-05-16,lesiones,-33.468743,-70.622509,Comuna Piloto,media
132,2025-05-13,hurto,-33.494904,-70.650341,Comuna Piloto,media
133,2025-01-22,vandalismo,-33.48884,-70.646351,Comuna Piloto,
134,2025-05-15,lesiones,-33.46155,-70.603458,Comuna Piloto,media
135,2025-07-10,robo_vehiculo,-33.493947,-70.603642,Comuna Piloto,media
136,2025-03-14,lesiones,-33.430181,-70.614436,Comuna Piloto,baja
137,2025-05-25,lesiones,-33.479298,-70.681239,Comuna Piloto,baja
138,2025-01-08,robo_vehiculo,-33.469793,-70.640573,Comuna Piloto,media
139,2025-03-25,lesiones,-33.460587,-70.612185,Comuna Piloto,baja
140,2025-04-15,vandalismo,-33.458339,-70.662554,Comuna Piloto,baja
141,2025-08-24,vandalismo,-33.499834,-70.689889,Comuna Piloto,baja
142,2025-02-21,lesiones,-33.488793,-70.618904,Comuna Piloto,baja
143,2025-03-08,lesiones,-33.413724,-70.651824,Comuna Piloto,baja
144,2025-04-09,robo_vehiculo,-33.499877,-70.643561,Comuna Piloto,baja
145,2025-08-27,lesiones,-33.449183,-70.601786,Comuna Piloto,media
146,2025-07-24,robo_vehiculo,-33.45105,-70.639279,Comuna Piloto,alta
147,2025-01-09,hurto,-33.466691,-70.657502,Comuna Piloto,baja
148,2025-02-26,robo_vehiculo,-33.456867,-70.663002,Comuna Piloto,alta
149,2025-07-17,robo_vehiculo,-33.421942,-70.658238,Comuna Piloto,baja
150,2025-01-14,robo_con_violencia,-33.41588,-70.68816,Comuna Piloto,alta
151,2025-07-25,vandalismo,-33.473965,-70.620525,Comuna Piloto,alta
152,2025-03-09,robo_con_violencia,-33.467751,-70.616228,Comuna Piloto,baja
153,2025-08-09,robo_con_violencia,-33.475752,-70.67156,Comuna Piloto,media
154,2025-03-12,vandalismo,-33.452014,-70.66962,Comuna Piloto,alta
155,2025-04-15,hurto,-33.431674,-70.612567,Comuna Piloto,alta
156,2025-06-08,hurto,-33.477175,-70.697603,Comuna Piloto,alta
157,2025-01-31,lesiones,-33.466926,-70.647954,Comuna Piloto,media
158,2025-05-14,robo_vehiculo,-33.406962,-70.653632,Comuna Piloto,baja
159,2025-05-02,robo_con_violencia,-33.495143,-70.630987,Comuna Piloto,media
160,2025-07-08,lesiones,-33.453923,-70.683661,Comuna Piloto,media
161,2025-08-28,robo_con_violencia,-33.428844,-70.633167,Comuna Piloto,media
162,2025-06-09,hurto,-33.484955,-70.662327,Comuna Piloto,baja
163,2025-04-09,vandalismo,-33.495263,-70.638129,Comuna Piloto,media
164,2025-04-08,vandalismo,-33.486179,-70.69599,Comuna Piloto,baja
165,2025-04-11,robo_vehiculo,-33.408118,-70.653827,Comuna Piloto,media
166,2025-07-15,lesiones,-33.499074,-70.647775,Comuna Piloto,baja
167,2025-03-19,lesiones,-33.481168,-70.678567,Comuna Piloto,media
168,2025-02-10,hurto,-33.496872,-70.686038,Comuna Piloto,media
169,2025-03-22,robo_con_violencia,-33.488937,-70.681153,Comuna Piloto,baja
170,2025-01-06,robo_vehiculo,-33.437985,-70.665586,Comuna Piloto,media
171,2025-01-26,lesiones,-33.475836,-70.690319,Comuna Piloto,baja
172,2025-01-22,vandalismo,-33.443079,-70.605268,Comuna Piloto,alta
173,2025-07-05,robo_con_violencia,-33.44098,-70.659501,Comuna Piloto,media
174,2025-06-23,lesiones,-33.415056,-70.619103,Comuna Piloto,baja
175,2025-06-17,vandalismo,-33.499526,-70.602558,Comuna Piloto,baja
176,2025-04-21,vandalismo,-33.414663,-70.691926,Comuna Piloto,baja
177,2025-06-22,hurto,-33.438088,-70.634833,Comuna Piloto,baja
178,2025-02-08,robo_con_violencia,-33.483726,-70.612859,Comuna Piloto,alta
179,2025-08-05,robo_vehiculo,-33.422706,-70.636577,Comuna Piloto,media
180,2025-05-01,vandalismo,-33.414451,-70.657097,Comuna Piloto,baja
181,2025-08-14,vandalismo,-33.474574,-70.656892,Comuna Piloto,alta
182,2025-02-06,lesiones,-33.408121,-70.69641,Comuna Piloto,baja
183,2025-04-30,robo_con_violencia,-33.454554,-70.64654,Comuna Piloto,alta
184,2025-06-17,robo_con_violencia,-33.439658,-70.600646,Comuna Piloto,baja
185,2025-04-29,hurto,-33.401535,-70.604129,Comuna Piloto,media
186,2025-04-18,hurto,-33.463846,-70.69596,Comuna Piloto,alta
187,2025-02-09,robo_con_violencia,-33.418684,-70.62942,Comuna Piloto,baja
188,2025-04-02,lesiones,-33.46816,-70.669824,Comuna Piloto,media
189,2025-02-27,hurto,-33.420079,-70.609701,Comuna Piloto,alta
190,2025-03-14,robo_con_violencia,-33.439927,-70.695489,Comuna Piloto,baja
191,2025-06-14,robo_con_violencia,-33.478364,-70.606413,Comuna Piloto,baja
192,2025-06-01,hurto,-33.458597,-70.616252,Comuna Piloto,media
193,2025-05-26,lesiones,-33.468236,-70.68825,Comuna Piloto,baja
194,2025-03-28,vandalismo,-33.492189,-70.694018,Comuna Piloto,baja
195,2025-08-19,hurto,-33.497017,-70.616529,Comuna Piloto,baja
196,2025-01-22,robo_vehiculo,-33.465352,-70.684424,Comuna Piloto,media
197,2025-03-24,vandalismo,-33.498097,-70.64651,Comuna Piloto,baja
198,2025-01-29,hurto,-33.483451,-70.608426,Comuna Piloto,baja
199,2025-03-23,robo_vehiculo,-33.427482,-70.643255,Comuna Piloto,media
200,2025-08-19,hurto,-33.429191,-70.660277,Comuna Piloto,media
201,2025-03-29,robo_con_violencia,-33.426142,-70.655498,Comuna Piloto,media
202,2025-08-07,robo_vehiculo,-33.468285,-70.693688,Comuna Piloto,baja
