id_manzana,comuna,poblacion,superficie_m2,latitud,longitud
MZ-0001,Comuna Piloto,851.0,51354,-33.4749,-70.635877
MZ-0002,Comuna Piloto,570.0,51324,-33.419396,-70.681555
MZ-0003,Comuna Piloto,622.0,31031,-33.432353,-70.624051
MZ-0004,Comuna Piloto,809.0,56917,-33.428291,-70.624231
MZ-0005,Comuna Piloto,528.0,37984,-33.437038,-70.62787
MZ-0006,Comuna Piloto,702.0,54619,-33.402844,-70.65552
MZ-0007,Comuna Piloto,753.0,57792,-33.466732,-70.662182
MZ-0008,Comuna Piloto,218.0,35904,-33.460172,-70.658023
MZ-0009,Comuna Piloto,68.0,19727,-33.479709,-70.696666
MZ-0010,Comuna Piloto,284.0,12145,-33.49493,-70.615568
MZ-0011,Comuna Piloto,270.0,35519,-33.478709,-70.645763
MZ-0012,Comuna Piloto,788.0,14777,-33.408454,-70.661248
MZ-0013,Comuna Piloto,823.0,46012,-33.415983,-70.645197
MZ-0014,Comuna Piloto,24.0,55962,-33.488759,-70.627836
MZ-0015,Comuna Piloto,459.0,17744,-33.439622,-70.661854
MZ-0016,Comuna Piloto,742.0,34930,-33.45208,-70.616936
MZ-0017,Comuna Piloto,135.0,6753,-33.440532,-70.608054
MZ-0018,Comuna Piloto,721.0,14110,-33.434072,-70.661257
MZ-0019,Comuna Piloto,124.0,25121,-33.469334,-70.686218
MZ-0020,Comuna Piloto,431.0,53507,-33.403865,-70.623963
MZ-0021,Comuna Piloto,738.0,58292,-33.453416,-70.600705
MZ-0022,Comuna Piloto,286.0,39928,-33.43719,-70.685201
MZ-0023,Comuna Piloto,,36673,-33.436477,-70.628732
MZ-0024,Comuna Piloto,265.0,35902,-33.481611,-70.617468
MZ-0025,Comuna Piloto,653.0,7394,-33.493813,-70.607943
MZ-0026,Comuna Piloto,244.0,25072,-33.458848,-70.687662
MZ-0027,Comuna Piloto,891.0,59066,-33.423597,-70.690819
MZ-0028,Comuna Piloto,411.0,27013,-33.418478,-70.601213
MZ-0029,Comuna Piloto,440.0,15945,-33.427001,-70.688324
MZ-0030,Comuna Piloto,464.0,17411,-33.48868,-70.682319
MZ-0031,Comuna Piloto,532.0,43948,-33.408665,-70.642505
MZ-0032,Comuna Piloto,507.0,6131,-33.419796,-70.655373
MZ-0033,Comuna Piloto,468.0,58287,-33.412231,-70.624961
MZ-0034,Comuna Piloto,896.0,53068,-33.44767,-70.680944
MZ-0035,Comuna Piloto,730.0,35781,-33.408436,-70.608557
MZ-0036,Comuna Piloto,717.0,30192,-33.495335,-70.678281
MZ-0037,Comuna Piloto,636.0,46640,-33.496971,-70.623089
MZ-0038,Comuna Piloto,567.0,34667,-33.497978,-70.69324
MZ-0039,Comuna Piloto,320.0,30722,-33.474723,-70.65266
MZ-0040,Comuna Piloto,890.0,22041,-33.475143,-70.696744
MZ-0041,Comuna Piloto,430.0,29017,-33.48125,-70.668619
MZ-0042,Comuna Piloto,209.0,46074,-33.443294,-70.668777
MZ-0043,Comuna Piloto,763.0,7085,-33.496101,-70.628025
MZ-0044,Comuna Piloto,160.0,5411,-33.440961,-70.654498
MZ-0045,Comuna Piloto,774.0,44342,-33.483399,-70.694323
MZ-0046,Comuna Piloto,559.0,24842,-33.432213,-70.600464
MZ-0047,Comuna Piloto,120.0,49009,-33.497892,-70.61113
